Date,UAL,V,LYFT,COST,ABNB,AMZN,COUR,UBER,AXP,MAR,TWTR,NFLX,AAL,ZM,DAL,MA,HLT,WMT
2019-06-11,82.769997,170.309998,58.07,257.109985,0.0,1863.699951,0.0,42.450001,123.230003,134.520004,37.209999,351.269989,30.58,94.870003,54.880001,263.660004,93.93,107.940002
2019-06-12,83.790001,171.589996,58.41,257.230011,0.0,1855.319946,0.0,42.169998,122.029999,132.699997,37.490002,345.559998,31.1,102.769997,55.450001,263.850006,93.349998,108.82
2019-06-13,87.110001,169.350006,61.209999,259.709991,0.0,1870.300049,0.0,44.310001,121.860001,133.619995,36.34,343.429993,33.09,100.949997,56.52,261.200012,93.029999,108.650002
2019-06-14,87.120003,169.660004,60.959999,260.149994,0.0,1869.670044,0.0,43.23,122.0,133.679993,36.150002,339.730011,32.68,100.290001,55.990002,260.100006,93.419998,109.07
2019-06-17,86.769997,169.559998,63.599998,261.429993,0.0,1886.030029,0.0,43.779999,121.449997,132.850006,36.439999,350.619995,32.560001,98.110001,55.669998,259.200012,93.209999,109.160004
2019-06-18,87.400002,169.279999,64.400002,262.73999,0.0,1901.369995,0.0,43.860001,123.43,134.960007,36.650002,357.119995,32.52,99.639999,56.029999,258.809998,95.099998,109.650002
2019-06-19,88.660004,170.690002,63.549999,263.660004,0.0,1908.790039,0.0,44.860001,124.68,135.679993,36.290001,363.519989,33.209999,102.389999,56.360001,259.869995,95.760002,109.620003
2019-06-20,87.139999,173.740005,62.84,267.350006,0.0,1918.189941,0.0,43.860001,124.919998,137.190002,35.439999,365.209991,32.150002,102.300003,55.970001,266.790009,96.870003,110.32
2019-06-21,86.720001,173.440002,64.260002,266.130005,0.0,1911.300049,0.0,44.0,124.730003,137.070007,35.02,369.209991,31.57,100.470001,55.990002,264.470001,96.139999,111.129997
2019-06-24,86.550003,173.850006,63.759998,266.769989,0.0,1913.900024,0.0,43.09,124.139999,136.759995,35.580002,371.040009,31.82,89.410004,56.07,265.299988,95.510002,111.239998
2019-06-25,85.059998,171.279999,64.040001,266.359985,0.0,1878.27002,0.0,43.09,123.160004,133.279999,34.720001,360.299988,31.26,85.029999,55.919998,259.730011,93.25,110.720001
2019-06-26,85.330002,171.059998,62.970001,264.410004,0.0,1897.829956,0.0,42.5,123.589996,135.649994,35.220001,362.200012,31.459999,86.330002,56.380001,261.299988,94.519997,110.160004
2019-06-27,86.43,171.229996,65.269997,265.579987,0.0,1904.280029,0.0,45.130001,123.940002,138.289993,34.75,370.019989,32.150002,90.269997,56.82,261.100006,96.529999,110.099998
2019-06-28,87.550003,173.550003,65.709999,264.26001,0.0,1893.630005,0.0,46.380001,123.440002,140.289993,34.900002,367.320007,32.610001,88.790001,56.75,264.529999,97.739998,110.489998
2019-07-01,88.449997,173.940002,62.0,263.549988,0.0,1922.189941,0.0,44.27,124.919998,141.229996,36.080002,374.600006,32.880001,86.860001,57.790001,266.769989,99.300003,110.620003
2019-07-02,88.870003,175.279999,60.349998,265.470001,0.0,1934.310059,0.0,44.0,125.099998,141.259995,36.220001,375.429993,32.189999,85.129997,58.540001,270.570007,100.389999,111.599998
2019-07-03,90.669998,176.869995,60.599998,269.140015,0.0,1939.0,0.0,44.23,125.860001,141.75,36.02,381.720001,32.720001,90.449997,59.150002,273.079987,100.639999,112.32
2019-07-05,90.589996,176.660004,59.389999,268.25,0.0,1942.910034,0.0,43.529999,125.400002,142.009995,36.25,380.549988,32.459999,91.879997,58.700001,272.140015,100.599998,111.980003
2019-07-08,90.669998,176.190002,59.790001,269.399994,0.0,1952.319946,0.0,42.950001,124.849998,141.300003,36.450001,376.160004,32.790001,90.760002,59.369999,271.230011,100.190002,112.720001
2019-07-09,89.459999,177.729996,61.830002,269.970001,0.0,1988.300049,0.0,44.200001,125.900002,139.520004,37.650002,379.929993,32.360001,90.93,58.959999,273.339996,99.0,112.879997
2019-07-10,89.510002,179.309998,62.299999,271.420013,0.0,2017.410034,0.0,43.700001,126.889999,141.570007,37.470001,381.0,32.939999,92.720001,59.470001,275.380005,99.190002,112.980003
2019-07-11,89.480003,180.740005,61.849998,276.540009,0.0,2001.069946,0.0,43.990002,127.279999,141.899994,37.209999,379.5,33.029999,91.400002,60.16,278.320007,100.699997,113.919998
2019-07-12,91.230003,180.330002,64.25,279.440002,0.0,2011.0,0.0,43.990002,127.959999,142.550003,37.84,373.25,33.779999,93.300003,61.650002,279.540009,99.540001,114.599998
2019-07-15,91.32,180.570007,64.790001,280.579987,0.0,2020.98999,0.0,44.529999,128.570007,142.779999,38.68,366.600006,33.610001,99.800003,61.700001,279.369995,99.199997,114.980003
2019-07-16,93.919998,179.309998,64.800003,280.649994,0.0,2009.900024,0.0,44.130001,128.059998,143.960007,37.990002,365.98999,34.220001,97.099998,63.16,276.619995,99.879997,114.760002
2019-07-17,94.779999,179.149994,65.169998,281.559998,0.0,1992.030029,0.0,43.619999,127.080002,141.240005,37.700001,362.440002,33.259998,99.730003,62.25,275.279999,97.769997,114.599998
2019-07-18,95.279999,180.529999,66.0,282.910004,0.0,1977.900024,0.0,43.709999,128.399994,139.800003,37.66,325.209991,33.740002,95.190002,62.66,276.779999,97.099998,114.720001
2019-07-19,93.830002,179.240005,67.449997,281.51001,0.0,1964.52002,0.0,43.18,124.82,137.729996,36.77,315.100006,33.080002,93.379997,60.91,275.600006,94.529999,113.900002
2019-07-22,93.830002,180.570007,66.0,280.170013,0.0,1985.630005,0.0,43.689999,126.0,136.059998,37.580002,310.619995,32.900002,96.669998,61.290001,278.609985,93.239998,112.82
2019-07-23,94.93,180.899994,64.93,280.100006,0.0,1994.48999,0.0,43.360001,128.199997,140.690002,37.900002,307.299988,33.73,97.389999,63.09,278.970001,95.120003,112.089996
2019-07-24,95.110001,183.330002,65.230003,280.829987,0.0,2000.810059,0.0,43.759998,127.949997,139.789993,38.73,317.940002,34.59,95.940002,63.16,280.25,95.309998,112.0
2019-07-25,93.93,181.589996,65.010002,279.799988,0.0,1973.819946,0.0,43.400002,127.150002,140.720001,38.119999,326.459991,31.67,97.110001,62.23,279.350006,96.400002,112.220001
2019-07-26,93.360001,183.690002,65.519997,281.369995,0.0,1943.050049,0.0,44.52,126.779999,140.270004,41.52,335.779999,31.24,102.199997,62.16,282.070007,97.209999,113.019997
2019-07-29,93.440002,183.210007,64.029999,280.130005,0.0,1912.449951,0.0,43.880001,127.190002,141.229996,41.5,332.700012,30.74,96.470001,62.459999,281.440002,97.400002,112.269997
2019-07-30,93.93,181.529999,62.459999,279.5,0.0,1898.530029,0.0,42.59,126.470001,140.809998,41.0,325.929993,30.709999,95.489998,62.630001,278.160004,97.309998,112.059998
2019-07-31,91.910004,178.0,60.869999,275.630005,0.0,1866.780029,0.0,42.139999,124.370003,139.059998,42.310001,322.98999,30.51,95.510002,61.040001,272.269989,96.550003,110.379997
2019-08-01,90.489998,179.169998,59.77,274.570007,0.0,1855.319946,0.0,41.310001,124.089996,136.869995,42.080002,319.5,29.84,95.099998,60.32,274.160004,95.25,109.379997
2019-08-02,89.43,177.419998,58.610001,272.5,0.0,1823.23999,0.0,40.400002,124.309998,135.979996,42.849998,318.829987,29.450001,93.660004,60.130001,269.450012,93.910004,109.400002
